dataset,category,access_method,n_plots_sampled,n_distinct_values,std,value_min,value_max,cv,variogram_range_m,variogram_status,morans_i,morans_i_p,between_compartment_icc,spearman_vs_cr_residual_4survey,spearman_p_4survey,spearman_vs_cr_residual_6survey,spearman_p_6survey,years_covered,notes,trust_score
Global Wind Atlas (10m wind speed),wind,"Public REST API, no auth (confirmed live)",71766,1815,1.0479504488515148,0.06883028149604797,11.178291320800781,1.0005186650203335,5000.0,exceeds_window,0.5135947073584005,0.005,0.33824251554606016,-0.20590311921490284,0.0,0.052558386320406256,5.660640775352062e-10,"Static (long-term climatology) -- time-invariant, applies to all 6 survey years equally","Full-plot-set confirmation of the spot-check already done in notebooks/environmental_data/environmental_data_sources_survey.ipynb -- see that notebook for the real-vs-nominal resolution finding (anisotropic ~155m E-W / ~278m N-S at Aberfoyle's latitude, not a flat 250m).",0.7316151195588789
"Windward TOPEX (225 deg SW only, 1000m radius)","terrain-derived (new, from OS Terrain 50)","Same DTM mosaic and topex() function already in this notebook, single direction",71766,8096,6.0392065563767465,-19.83437395998791,19.422650309198076,7.727546236380754,5000.0,exceeds_window,0.96846065244494,0.005,0.9032694252307367,0.07027736401711276,2.95472393210625e-79,0.029735423881490034,0.00045517509783340256,All 6 -- DTM is static,Prevailing-wind-direction version of the omnidirectional TOPEX above -- tests whether windward/leeward matters more than average exposure for this forest.,0.6688557011692422
Distance to nearest watercourse,"terrain-derived (new, from OS Open Rivers)","OS Open Rivers, direct download, no auth (confirmed live)",71766,71758,346.66572748001664,0.004526816929377876,1850.8576764141585,0.6747462651283356,5000.0,exceeds_window,0.9608575780890971,0.005,0.8422717447655811,-0.08967229367849557,5.086643397593797e-128,0.015142303217106245,0.07426126553722844,"All 6 (2026 snapshot of a relatively static watercourse network) -- treated as time-invariant, applies to all six survey years equally","Resolves the earlier open question about needing flow-accumulation -- OS Open Rivers' real watercourse lines make this a simple distance-to-nearest-line calculation, not a hydrology derivation.",0.6802048893320466
"TOPEX (1000m radius, 8 directions)","terrain-derived (new, from OS Terrain 50)","OS Terrain 50 DTM, no auth -- purely derived, no new source",71766,16846,18.997948713682007,-85.88589630692712,68.58110767823075,57.21788540542093,3150.1814787933035,resolved,0.9078022329660352,0.005,0.7427779184093326,0.0929101918287736,2.5177141584862798e-137,0.13286934595972283,9.16285079160682e-56,All 6 -- DTM is static,Single-radius version (1000m); sign-convention validated against a synthetic conical hill before use on real data (see markdown above). The DAMS section earlier in this notebook names this exact method as one of DAMS's own two inputs (alongside a Wind Zone base map this notebook doesn't have) -- this is the fallback that section pointed to.,0.7250277285567335
Distance to forest perimeter,"terrain-derived (new, from GPKG geometry)",Local GPKG geometry only -- no external source,71766,71701,142.026006782856,9.810193678222885e-11,764.6923523765403,0.7324111858411897,1028.4851185854027,resolved,0.8543322798986405,0.005,0.5860133053054186,0.0769481153953718,1.1048252569428292e-94,-0.06487629783107675,1.9277972073499808e-14,"All 6 (2002/2006/2008/2012/2021/2023) -- geometry is fixed per plot, doesn't depend on survey year",,0.7948953431431034
Local elevation roughness (100m buffer),"terrain-derived (new, from OS Terrain 50)","OS Terrain 50 DTM (same cached source as notebooks/environmental_data/, no auth)",71766,16846,7.020199755169836,0.19798989832151762,49.75689765248539,0.5996441193103477,5000.0,exceeds_window,0.8503521145185996,0.005,0.7488341872879993,0.04310621716969711,7.1313242605139705e-31,0.2749329911085505,1.743754890567086e-239,"All 6 (2002/2006/2008/2012/2021/2023) -- DTM is static, applies to every survey year equally",Complements TOPEX (directional horizon-angle shelter) with a different signal: local surface variability regardless of direction.,0.7229080344492003
"Solar radiation index (slope+aspect, noon/solstice)","terrain-derived (new, from OS Terrain 50)","OS Terrain 50 DTM, no auth -- closed-form formula, no new dependency",71766,16020,0.07814942115760043,0.33843469531051457,0.999646837908804,0.0948867986637277,2890.5617214173717,resolved,0.7657269310251534,0.005,0.6300268889924882,0.01983546675140378,1.0713367573936949e-07,0.13130314744645621,1.728573126157411e-54,All 6 -- DTM is static,"No horizon shading by surrounding terrain -- a plot in a valley with the 'right' local aspect still scores as if unshaded, which is optimistic for valley-floor plots specifically. A full horizon-shading model (like TOPEX, but toward the sun's actual azimuth rather than all compass directions) would fix this if the gap turns out to matter.",0.7344905888526292
"Soil-depth proxy (-slope, heuristic)","terrain-derived (new, from OS Terrain 50)","OS Terrain 50 DTM, no auth -- purely derived, no new source",71766,15334,5.830639331067542,-42.83889209359811,-0.0,0.6125715645248734,5000.0,exceeds_window,0.7281556605169923,0.005,0.6253880025059767,-0.08647506820830496,3.690224816683192e-119,-0.2696481636870129,4.256908414638194e-230,All 6 -- DTM is static,"Pure heuristic (steeper = assumed shallower soil), not calibrated against any real soil-depth measurement -- directly redundant with slope itself in the statistics below (same information, just sign-flipped and relabelled), included for interpretability in a rooting-depth/windthrow framing rather than as new information.",0.6311141991229081
Compartment perimeter-to-area ratio,"terrain-derived (new, from GPKG geometry)",Local GPKG geometry only -- no external source,71766,296,0.008854040377483632,0.009735767991977912,0.23975315240668768,0.38776157646619946,5000.0,exceeds_window,0.7208497932895754,0.005,1.0,0.06996133879073094,1.4672833310049853e-78,0.07049511110681853,8.799428665339167e-17,"All 6 -- geometry is fixed per plot, doesn't depend on survey year",,0.6499999999999999
Distance to sub-compartment boundary,"terrain-derived (new, from GPKG geometry)",Local GPKG geometry only -- no external source,71766,68188,28.352975069990816,9.203439287865707e-12,216.98742425889233,0.8807409299613278,0.0,no_structure,0.43603506449840285,0.005,0.21325843168938582,-0.06274834047366647,1.5724167490120715e-63,-0.029824188121378343,0.00043759578138754396,"All 6 -- geometry is fixed per plot, doesn't depend on survey year",,0.925359548908715
Distance to compartment boundary,"terrain-derived (new, from GPKG geometry)",Local GPKG geometry only -- no external source,71766,59398,27.593926093578443,9.203439287865707e-12,216.98742425889233,0.8007053691725635,0.0,no_structure,0.4168405398658789,0.005,0.1899681600506626,-0.05553082784177493,3.9747047493058946e-50,-0.026004316776179957,0.0021710625320270154,"All 6 (2002/2006/2008/2012/2021/2023) -- geometry is fixed per plot, doesn't depend on survey year",,0.9335111439822681
Distance to block boundary,"terrain-derived (new, from GPKG geometry)",Local GPKG geometry only -- no external source,71766,53983,27.182998494062048,6.173854762337992e-11,216.98742425889233,0.7674402687727688,0.0,no_structure,0.4151177529917446,0.005,0.19551728686179856,-0.054665894866329806,1.2470311385509877e-48,-0.03186596225886021,0.00017185793227878903,"All 6 -- geometry is fixed per plot, doesn't depend on survey year",,0.9315689495983703
"Terrain Position Index (TPI, 100m)","terrain-derived (new, from OS Terrain 50)","OS Terrain 50 DTM, no auth",71766,16010,3.8962813702715895,-23.91999999999996,33.11599999999959,15.088047729426165,2096.4596557695218,resolved,0.3466673065003928,0.005,0.18443450390426083,-0.006381556209497768,0.08734837592673533,-0.04079110260443371,1.5074128766751658e-06,All 6 -- DTM is static,"Distinct from raw elevation: captures relative landform position (ridge/mid-slope/valley), not absolute height.",0.9204479236335086
Profile curvature,"terrain-derived (new, from OS Terrain 50)","OS Terrain 50 DTM (same cached source as notebooks/environmental_data/, no auth)",71766,16842,0.0011059923439483946,-0.007245308775266219,0.00836709503975482,34.49870327979317,0.0,no_structure,0.29108139140640804,0.005,0.15441693559429373,-0.014810956806623813,7.251424203615794e-05,-0.02075324776902375,0.014423032182112975,"All 6 (2002/2006/2008/2012/2021/2023) -- DTM is static, applies to every survey year equally","Zevenbergen & Thorne (1987) formula, sign-convention validated against a synthetic bowl/dome before use on real data (see markdown above).",0.9309540725419971
Frost-hollow flag (TPI + concave curvature),"terrain-derived (new, from OS Terrain 50)","OS Terrain 50 DTM, no auth -- purely derived, no new source",71766,2,0.3323297850141086,0.0,1.0,2.6286579065194715,0.0,no_structure,0.181438221588538,0.005,0.10032408653114684,0.024824758258826452,2.905993454638611e-11,0.0360232947539053,2.1605149534485855e-05,All 6 -- DTM is static,"Binary flag, threshold (15th percentile TPI + concave plan curvature) is a documented heuristic choice, not calibrated against any real frost/damage record -- worth revisiting if frost damage data ever becomes available to validate against.",0.8748865697140986
Plan curvature,"terrain-derived (new, from OS Terrain 50)","OS Terrain 50 DTM (same cached source as notebooks/environmental_data/, no auth)",71766,16836,0.016326696600283668,-0.6667069666168665,0.40000000000002206,12.223212888204374,0.0,no_structure,0.08643819050557879,0.005,0.04577774317949679,0.0026077143770033813,0.4848181483571609,-0.05646145178846693,2.725203590842377e-11,"All 6 (2002/2006/2008/2012/2021/2023) -- DTM is static, applies to every survey year equally","Zevenbergen & Thorne (1987) formula, sign-convention validated against a synthetic bowl/dome before use on real data (see markdown above).",0.9689777898871761
"Neighbour mean height (2023, 75m buffer)",spatial-lag (NOT exogenous -- see caveat above),Local GPKG geometry + height -- no external source,71731,71722,6.914898426197906,3.135854,45.58388275,0.31165949495067524,2838.4086713522943,resolved,0.8183168394528626,0.005,0.7201889162877121,0.6638246001043987,0.0,0.4897107065033184,0.0,All 6 in principle (same geometry/height mechanism every year) -- only 2023 actually computed in this notebook,"SPATIAL-LAG WARNING: likely correlates with own height via shared planting year/management, not necessarily wind-shielding or competition. Needs a with/without check against the terrain+wind model at the SHAP stage before any 'environmental driver' claim is made from this feature.",0.6379338792993008
"Neighbour height differential (2023, 75m buffer)",spatial-lag (NOT exogenous -- see caveat above),Local GPKG geometry + height -- no external source,71731,71730,3.52613990510015,-32.84569609090909,24.53395694736842,133.40981895769775,0.0,no_structure,-0.017934025328667808,0.005,0.006485383674188343,0.47247069289622473,0.0,0.5025210584525514,0.0,All 6 in principle (same geometry/height mechanism every year) -- only 2023 actually computed in this notebook,"SPATIAL-LAG WARNING: likely correlates with own height via shared planting year/management, not necessarily wind-shielding or competition. Needs a with/without check against the terrain+wind model at the SHAP stage before any 'environmental driver' claim is made from this feature. CV is inflated here because this feature's true mean is close to zero by construction -- not comparable to other rows' CV.",0.887730115714034
AlphaEarth Foundations (PC1 of 64-dim embedding),"other (learned embedding, not a named covariate)","Google Earth Engine, real project ID (confirmed live; point-sampled n=5000, not full raster -- 64-band/10m/full-bbox download exceeds GEE's 50MB sync limit)",5000,5000,0.22140611578558242,-0.6023698023473817,0.5263903473508332,,2567.46059181019,resolved,0.5522695134877641,0.005,0.43691649047946984,0.26990025047600996,3.4086884767180135e-84,0.13826898388715475,1.428631487714316e-05,"2017-2025 ONLY -- confirmed no 2002/2006/2008/2012 coverage, still cannot support the temporal Env-PINN window or SQ2 regardless of access","REAL EXTRACTION (updates the earlier 'blocked' placeholder). PC1 explains 28.1% of the full 64-dim variance -- a single PC is a lossy summary, real signal could exist in other components this screen doesn't see. Still not physically interpretable; robustness/clustering check only, never a primary SHAP-attributed feature (kept as a code comment above too).",0.5320792283321856
Distance to nearest road/track,"terrain-derived (new, from OS Open Roads)","OS Open Roads, direct download, no auth (confirmed live)",71766,71580,342.0376755501091,0.04786460613800146,2375.65475791962,1.1460837019144845,5000.0,exceeds_window,0.9665917360640247,0.005,0.8806922332751898,-0.3768918536479332,0.0,-0.018785602597360163,0.02679116911507151,"All 6 -- 2026 snapshot of a relatively static road network, treated as time-invariant, applies to all six survey years equally","Same access pattern and distance-to-nearest-line method as dist_to_watercourse -- includes unclassified tracks, not just A/B roads.",0.6667577183536835
CEH Topographic Wetness Index (TWI),"terrain-derived (new, from OS Terrain 50 via CEH)","Direct EIDC download, no auth (same zip already cached for ceh_pedotope)",71727,16807,1.4654961128938429,3.750521183013916,16.861465454101562,0.19527317790239276,0.0,no_structure,0.3870300996029413,0.005,0.2553800562173196,-0.10327694085045956,2.7767599517890937e-169,-0.020882422665628814,0.013824843509844574,"Static (2020 snapshot, terrain-derived) -- time-invariant, applies to all 6 survey years equally","Fills a real gap: named explicitly in the Dissertation Plan's own OS Terrain 50 variable list (elevation, slope, northness, eastness, TWI, TOPEX) but never built directly in this notebook -- this CEH product supplies it instead of computing it from scratch. Check the correlation section below for overlap with TPI/curvature, which capture related but not identical terrain-wetness information.",0.895616980323938
